Symptom_Text,Water_Color,Water_Odor,Disease
"low blood pressure, severe watery diarrhea, muscle cramps",Cloudy,Fishy,Cholera
"loss of skin elasticity, severe watery diarrhea, muscle cramps, rapid heart rate",Clear,Rotten,Cholera
"thirst, severe watery diarrhea",Cloudy,Fishy,Cholera
"dehydration, muscle cramps, loss of skin elasticity",Cloudy,Fishy,Cholera
"severe watery diarrhea, vomiting, thirst",Cloudy,Rotten,Cholera
"vomiting, loss of skin elasticity, thirst",Pale,None,Cholera
"dehydration, loss of skin elasticity, muscle cramps",Clear,None,Cholera
"loss of skin elasticity, dehydration, vomiting",Clear,Rotten,Cholera
"leg cramps, vomiting, dehydration, muscle cramps",Pale,Rotten,Cholera
"leg cramps, severe watery diarrhea",Pale,Fishy,Cholera
"dehydration, severe watery diarrhea, loss of skin elasticity",Cloudy,Fishy,Cholera
"leg cramps, thirst, severe watery diarrhea, vomiting",Clear,None,Cholera
"thirst, loss of skin elasticity, low blood pressure",Clear,Fishy,Cholera
"muscle cramps, thirst",Clear,Fishy,Cholera
"loss of skin elasticity, vomiting, rapid heart rate, low blood pressure",Clear,Fishy,Cholera
"muscle cramps, low blood pressure, vomiting, dehydration",Cloudy,None,Cholera
"rapid heart rate, thirst, severe watery diarrhea",Clear,Fishy,Cholera
"vomiting, dehydration, low blood pressure, thirst",Pale,None,Cholera
"dehydration, loss of skin elasticity, vomiting, leg cramps",Cloudy,Fishy,Cholera
"leg cramps, rapid heart rate, vomiting",Cloudy,Rotten,Cholera
"leg cramps, loss of skin elasticity",Clear,Rotten,Cholera
"thirst, leg cramps, dehydration, low blood pressure",Pale,Rotten,Cholera
"vomiting, severe watery diarrhea",Clear,Fishy,Cholera
"leg cramps, low blood pressure",Pale,None,Cholera
"dehydration, low blood pressure, severe watery diarrhea",Cloudy,Rotten,Cholera
"rapid heart rate, thirst, severe watery diarrhea, muscle cramps",Clear,Rotten,Cholera
"low blood pressure, dehydration",Clear,Fishy,Cholera
"thirst, low blood pressure",Cloudy,Fishy,Cholera
"severe watery diarrhea, rapid heart rate, thirst, leg cramps",Pale,None,Cholera
"rapid heart rate, thirst, muscle cramps",Pale,Rotten,Cholera
"thirst, leg cramps, muscle cramps",Pale,Rotten,Cholera
"low blood pressure, vomiting",Cloudy,Fishy,Cholera
"low blood pressure, thirst, vomiting",Pale,None,Cholera
"thirst, dehydration, loss of skin elasticity, leg cramps",Cloudy,Fishy,Cholera
"severe watery diarrhea, low blood pressure",Pale,None,Cholera
"rapid heart rate, leg cramps, muscle cramps, low blood pressure",Clear,None,Cholera
"dehydration, leg cramps, severe watery diarrhea",Clear,Rotten,Cholera
"loss of skin elasticity, rapid heart rate",Pale,None,Cholera
"severe watery diarrhea, thirst",Clear,Fishy,Cholera
"leg cramps, low blood pressure, muscle cramps, rapid heart rate",Cloudy,None,Cholera
"muscle cramps, loss of skin elasticity, severe watery diarrhea",Cloudy,Rotten,Cholera
"severe watery diarrhea, thirst, leg cramps",Cloudy,None,Cholera
"dehydration, thirst, muscle cramps, leg cramps",Clear,Fishy,Cholera
"severe watery diarrhea, vomiting, muscle cramps, thirst",Clear,Rotten,Cholera
"rapid heart rate, dehydration",Cloudy,Rotten,Cholera
"leg cramps, dehydration, vomiting, thirst",Cloudy,Rotten,Cholera
"severe watery diarrhea, rapid heart rate, vomiting, dehydration",Clear,Rotten,Cholera
"muscle cramps, dehydration, rapid heart rate",Clear,Rotten,Cholera
"thirst, loss of skin elasticity, vomiting",Cloudy,None,Cholera
"thirst, leg cramps",Cloudy,Fishy,Cholera
"low blood pressure, dehydration, vomiting",Pale,Fishy,Cholera
"loss of skin elasticity, leg cramps, severe watery diarrhea, rapid heart rate",Pale,Fishy,Cholera
"thirst, muscle cramps, loss of skin elasticity, vomiting",Pale,Fishy,Cholera
"severe watery diarrhea, dehydration",Cloudy,Fishy,Cholera
"severe watery diarrhea, muscle cramps",Pale,Rotten,Cholera
"vomiting, dehydration, muscle cramps",Pale,Fishy,Cholera
"thirst, dehydration, leg cramps",Pale,None,Cholera
"dehydration, loss of skin elasticity, rapid heart rate, low blood pressure",Clear,None,Cholera
"low blood pressure, leg cramps",Pale,Fishy,Cholera
"thirst, rapid heart rate, loss of skin elasticity",Pale,Rotten,Cholera
"leg cramps, vomiting, low blood pressure",Clear,Rotten,Cholera
"low blood pressure, thirst, dehydration, severe watery diarrhea",Cloudy,Fishy,Cholera
"muscle cramps, severe watery diarrhea, vomiting, rapid heart rate",Cloudy,Fishy,Cholera
"leg cramps, thirst, severe watery diarrhea",Clear,Fishy,Cholera
"vomiting, leg cramps, severe watery diarrhea",Clear,Fishy,Cholera
"dehydration, vomiting",Cloudy,Rotten,Cholera
"dehydration, low blood pressure, leg cramps, thirst",Clear,Rotten,Cholera
"low blood pressure, dehydration, rapid heart rate, thirst",Clear,None,Cholera
"thirst, rapid heart rate, low blood pressure",Clear,Rotten,Cholera
"vomiting, rapid heart rate, dehydration, severe watery diarrhea",Clear,Fishy,Cholera
"severe watery diarrhea, thirst, loss of skin elasticity, vomiting",Clear,Rotten,Cholera
"thirst, rapid heart rate, low blood pressure, loss of skin elasticity",Pale,None,Cholera
"muscle cramps, dehydration, low blood pressure, loss of skin elasticity",Cloudy,Rotten,Cholera
"leg cramps, severe watery diarrhea, rapid heart rate, muscle cramps",Cloudy,Fishy,Cholera
"dehydration, severe watery diarrhea, rapid heart rate",Pale,Rotten,Cholera
"leg cramps, thirst, rapid heart rate, low blood pressure",Cloudy,Rotten,Cholera
"rapid heart rate, muscle cramps, vomiting",Pale,Fishy,Cholera
"thirst, rapid heart rate, vomiting, loss of skin elasticity",Pale,Rotten,Cholera
"low blood pressure, severe watery diarrhea, vomiting",Cloudy,None,Cholera
"leg cramps, loss of skin elasticity, rapid heart rate, dehydration",Clear,Rotten,Cholera
"muscle cramps, leg cramps, loss of skin elasticity, low blood pressure",Pale,None,Cholera
"severe watery diarrhea, rapid heart rate, loss of skin elasticity, low blood pressure",Clear,None,Cholera
"muscle cramps, severe watery diarrhea",Cloudy,Fishy,Cholera
"vomiting, low blood pressure",Pale,None,Cholera
"vomiting, thirst, loss of skin elasticity",Cloudy,None,Cholera
"vomiting, thirst, muscle cramps",Clear,Fishy,Cholera
"loss of skin elasticity, muscle cramps, dehydration, thirst",Cloudy,None,Cholera
"thirst, muscle cramps",Cloudy,Fishy,Cholera
"vomiting, dehydration",Cloudy,None,Cholera
"low blood pressure, dehydration",Pale,Rotten,Cholera
"severe watery diarrhea, thirst, vomiting, rapid heart rate",Clear,Rotten,Cholera
"leg cramps, muscle cramps",Clear,None,Cholera
"dehydration, leg cramps",Pale,None,Cholera
"low blood pressure, vomiting, loss of skin elasticity",Clear,Rotten,Cholera
"vomiting, loss of skin elasticity",Clear,Rotten,Cholera
"severe watery diarrhea, thirst, leg cramps",Pale,None,Cholera
"leg cramps, thirst",Cloudy,Fishy,Cholera
"leg cramps, low blood pressure, thirst, severe watery diarrhea",Clear,Fishy,Cholera
"rapid heart rate, leg cramps, thirst, low blood pressure",Cloudy,Rotten,Cholera
"rapid heart rate, dehydration, thirst",Pale,Rotten,Cholera
"muscle cramps, dehydration, vomiting, leg cramps",Pale,None,Cholera
"rapid heart rate, loss of skin elasticity",Pale,Fishy,Cholera
"low blood pressure, severe watery diarrhea",Pale,Rotten,Cholera
"low blood pressure, loss of skin elasticity",Clear,Fishy,Cholera
"rapid heart rate, thirst, severe watery diarrhea, muscle cramps",Cloudy,Fishy,Cholera
"thirst, leg cramps, dehydration, vomiting",Cloudy,Fishy,Cholera
"thirst, rapid heart rate, vomiting, muscle cramps",Cloudy,Fishy,Cholera
"leg cramps, severe watery diarrhea, muscle cramps",Clear,Rotten,Cholera
"vomiting, rapid heart rate, low blood pressure",Pale,Fishy,Cholera
"low blood pressure, thirst, rapid heart rate",Pale,None,Cholera
"leg cramps, rapid heart rate, muscle cramps, loss of skin elasticity",Cloudy,None,Cholera
"dehydration, loss of skin elasticity",Pale,Rotten,Cholera
"muscle cramps, dehydration, loss of skin elasticity",Pale,Fishy,Cholera
"rapid heart rate, low blood pressure, dehydration",Pale,None,Cholera
"thirst, loss of skin elasticity, vomiting, leg cramps",Clear,Fishy,Cholera
"loss of skin elasticity, severe watery diarrhea, dehydration",Clear,None,Cholera
"loss of skin elasticity, leg cramps, vomiting, dehydration",Clear,Fishy,Cholera
"muscle cramps, leg cramps, vomiting",Clear,Fishy,Cholera
"dehydration, muscle cramps",Cloudy,Rotten,Cholera
"dehydration, loss of skin elasticity, low blood pressure, vomiting",Pale,Rotten,Cholera
"muscle cramps, vomiting, rapid heart rate",Cloudy,Rotten,Cholera
"rapid heart rate, dehydration, severe watery diarrhea",Clear,Rotten,Cholera
"loss of skin elasticity, thirst, leg cramps, rapid heart rate",Cloudy,Rotten,Cholera
"thirst, dehydration, low blood pressure",Pale,Fishy,Cholera
"muscle cramps, vomiting, severe watery diarrhea",Cloudy,Fishy,Cholera
"loss of skin elasticity, muscle cramps",Clear,Fishy,Cholera
"vomiting, rapid heart rate",Clear,Rotten,Cholera
"rapid heart rate, low blood pressure, severe watery diarrhea, vomiting",Cloudy,None,Cholera
"rapid heart rate, loss of skin elasticity, thirst, dehydration",Clear,Fishy,Cholera
"leg cramps, low blood pressure, loss of skin elasticity",Cloudy,Rotten,Cholera
"rapid heart rate, vomiting, loss of skin elasticity",Clear,Fishy,Cholera
"rapid heart rate, severe watery diarrhea",Clear,None,Cholera
"thirst, rapid heart rate, leg cramps, dehydration",Cloudy,None,Cholera
"vomiting, thirst, dehydration, muscle cramps",Clear,Rotten,Cholera
"low blood pressure, rapid heart rate",Pale,Rotten,Cholera
"vomiting, dehydration, low blood pressure, muscle cramps",Clear,None,Cholera
"thirst, loss of skin elasticity",Cloudy,Fishy,Cholera
"dehydration, severe watery diarrhea, thirst, low blood pressure",Clear,None,Cholera
"muscle cramps, vomiting, dehydration",Pale,Rotten,Cholera
"thirst, vomiting",Cloudy,Fishy,Cholera
"leg cramps, loss of skin elasticity, vomiting",Clear,None,Cholera
"leg cramps, severe watery diarrhea, dehydration, low blood pressure",Pale,Fishy,Cholera
"loss of skin elasticity, dehydration",Clear,Fishy,Cholera
"muscle cramps, rapid heart rate, dehydration",Pale,Fishy,Cholera
"rapid heart rate, muscle cramps",Cloudy,None,Cholera
"rapid heart rate, muscle cramps, vomiting",Clear,Rotten,Cholera
"thirst, leg cramps, low blood pressure",Clear,Rotten,Cholera
"dehydration, thirst, leg cramps",Pale,Rotten,Cholera
"thirst, leg cramps, vomiting",Clear,Rotten,Cholera
"low blood pressure, muscle cramps, vomiting",Cloudy,None,Cholera
"loss of skin elasticity, thirst, dehydration",Cloudy,None,Cholera
"low blood pressure, leg cramps, muscle cramps, dehydration",Pale,Rotten,Cholera
"loss of skin elasticity, dehydration",Pale,Fishy,Cholera
"leg cramps, dehydration, loss of skin elasticity, thirst",Cloudy,Fishy,Cholera
"low blood pressure, muscle cramps, leg cramps",Clear,Rotten,Cholera
"low blood pressure, severe watery diarrhea, vomiting, leg cramps",Pale,Rotten,Cholera
"dehydration, thirst",Clear,Fishy,Cholera
"vomiting, low blood pressure, leg cramps, thirst",Clear,None,Cholera
"vomiting, loss of skin elasticity, severe watery diarrhea, leg cramps",Cloudy,None,Cholera
"vomiting, low blood pressure, dehydration",Clear,None,Cholera
"muscle cramps, loss of skin elasticity",Clear,None,Cholera
"thirst, dehydration",Clear,None,Cholera
"loss of skin elasticity, vomiting",Clear,Fishy,Cholera
"muscle cramps, rapid heart rate, severe watery diarrhea",Pale,None,Cholera
"loss of skin elasticity, muscle cramps, rapid heart rate",Clear,Rotten,Cholera
"vomiting, dehydration",Pale,Rotten,Cholera
"loss of skin elasticity, low blood pressure, dehydration",Cloudy,Rotten,Cholera
"thirst, dehydration, rapid heart rate",Clear,None,Cholera
"leg cramps, rapid heart rate, severe watery diarrhea",Cloudy,Fishy,Cholera
"vomiting, muscle cramps, loss of skin elasticity",Clear,Rotten,Cholera
"thirst, vomiting, leg cramps",Clear,None,Cholera
"leg cramps, rapid heart rate, low blood pressure",Clear,Fishy,Cholera
"loss of skin elasticity, dehydration",Pale,Rotten,Cholera
"muscle cramps, leg cramps, severe watery diarrhea, dehydration",Cloudy,Rotten,Cholera
"severe watery diarrhea, dehydration, muscle cramps",Cloudy,Fishy,Cholera
"severe watery diarrhea, leg cramps, thirst, muscle cramps",Pale,Fishy,Cholera
"vomiting, thirst, rapid heart rate, leg cramps",Clear,Fishy,Cholera
"severe watery diarrhea, vomiting, rapid heart rate, dehydration",Pale,Rotten,Cholera
"rapid heart rate, loss of skin elasticity, muscle cramps",Pale,Fishy,Cholera
"muscle cramps, loss of skin elasticity, severe watery diarrhea",Pale,Fishy,Cholera
"vomiting, leg cramps, rapid heart rate",Clear,None,Cholera
"loss of skin elasticity, dehydration, leg cramps",Clear,None,Cholera
"rapid heart rate, severe watery diarrhea, loss of skin elasticity, dehydration",Clear,None,Cholera
"vomiting, low blood pressure",Clear,None,Cholera
"muscle cramps, leg cramps",Clear,None,Cholera
"vomiting, leg cramps, loss of skin elasticity",Pale,Rotten,Cholera
"low blood pressure, leg cramps",Pale,Fishy,Cholera
"muscle cramps, severe watery diarrhea, loss of skin elasticity, vomiting",Pale,Fishy,Cholera
"loss of skin elasticity, thirst",Cloudy,Rotten,Cholera
"muscle cramps, loss of skin elasticity",Cloudy,Rotten,Cholera
"vomiting, low blood pressure, thirst, rapid heart rate",Pale,None,Cholera
"muscle cramps, loss of skin elasticity, rapid heart rate, leg cramps",Clear,Rotten,Cholera
"muscle cramps, thirst, loss of skin elasticity",Pale,Fishy,Cholera
"dehydration, leg cramps, vomiting",Clear,Rotten,Cholera
"thirst, low blood pressure, leg cramps, vomiting",Cloudy,Fishy,Cholera
"loss of skin elasticity, thirst",Clear,None,Cholera
"rapid heart rate, dehydration, vomiting",Pale,Rotten,Cholera
"vomiting, loss of skin elasticity, rapid heart rate",Cloudy,None,Cholera
"thirst, rapid heart rate, dehydration, low blood pressure",Pale,None,Cholera
"rapid heart rate, severe watery diarrhea, leg cramps, low blood pressure",Pale,None,Cholera
"loss of skin elasticity, low blood pressure, severe watery diarrhea",Pale,None,Cholera
"thirst, severe watery diarrhea, low blood pressure, loss of skin elasticity",Pale,Fishy,Cholera
"low blood pressure, dehydration",Pale,Rotten,Cholera
"rapid heart rate, severe watery diarrhea, thirst",Clear,Rotten,Cholera
"leg cramps, vomiting",Pale,None,Cholera
"severe watery diarrhea, muscle cramps, rapid heart rate, dehydration",Cloudy,Rotten,Cholera
"dehydration, low blood pressure, muscle cramps, loss of skin elasticity",Cloudy,Rotten,Cholera
"severe watery diarrhea, loss of skin elasticity, low blood pressure",Pale,Rotten,Cholera
"loss of skin elasticity, dehydration, rapid heart rate, thirst",Cloudy,None,Cholera
"low blood pressure, muscle cramps, dehydration",Clear,Rotten,Cholera
"rapid heart rate, leg cramps, muscle cramps",Clear,Rotten,Cholera
"loss of skin elasticity, vomiting, severe watery diarrhea, muscle cramps",Pale,None,Cholera
"dehydration, loss of skin elasticity, thirst, low blood pressure",Cloudy,Fishy,Cholera
"low blood pressure, severe watery diarrhea",Cloudy,Fishy,Cholera
"low blood pressure, thirst, loss of skin elasticity",Pale,Rotten,Cholera
"rapid heart rate, loss of skin elasticity, thirst",Pale,Rotten,Cholera
"loss of skin elasticity, rapid heart rate, vomiting, severe watery diarrhea",Cloudy,None,Cholera
"low blood pressure, severe watery diarrhea",Pale,Fishy,Cholera
"rapid heart rate, leg cramps, thirst",Cloudy,Rotten,Cholera
"severe watery diarrhea, leg cramps, low blood pressure, dehydration",Clear,Rotten,Cholera
"low blood pressure, vomiting",Cloudy,None,Cholera
"thirst, loss of skin elasticity",Clear,Rotten,Cholera
"low blood pressure, loss of skin elasticity, rapid heart rate",Clear,Fishy,Cholera
"muscle cramps, thirst, leg cramps, rapid heart rate",Clear,None,Cholera
"thirst, muscle cramps, dehydration",Cloudy,None,Cholera
"rapid heart rate, low blood pressure, loss of skin elasticity, muscle cramps",Pale,Fishy,Cholera
"severe watery diarrhea, loss of skin elasticity",Cloudy,Rotten,Cholera
"leg cramps, dehydration",Cloudy,Rotten,Cholera
"muscle cramps, rapid heart rate",Cloudy,Rotten,Cholera
"rapid heart rate, severe watery diarrhea, low blood pressure, muscle cramps",Cloudy,Fishy,Cholera
"thirst, severe watery diarrhea, low blood pressure",Clear,Fishy,Cholera
"rapid heart rate, vomiting, thirst",Pale,Fishy,Cholera
"rapid heart rate, muscle cramps, dehydration, loss of skin elasticity",Clear,None,Cholera
"thirst, loss of skin elasticity, leg cramps, dehydration",Pale,Rotten,Cholera
"loss of skin elasticity, leg cramps",Cloudy,None,Cholera
"severe watery diarrhea, rapid heart rate, leg cramps",Pale,None,Cholera
"muscle cramps, vomiting, severe watery diarrhea",Clear,None,Cholera
"leg cramps, low blood pressure, dehydration",Clear,Fishy,Cholera
"leg cramps, muscle cramps",Pale,None,Cholera
"low blood pressure, rapid heart rate, thirst",Pale,Fishy,Cholera
"severe watery diarrhea, leg cramps, low blood pressure",Pale,Fishy,Cholera
"low blood pressure, rapid heart rate, vomiting",Pale,Fishy,Cholera
"muscle cramps, thirst",Cloudy,Fishy,Cholera
"muscle cramps, loss of skin elasticity",Pale,None,Cholera
"muscle cramps, leg cramps, dehydration",Cloudy,Rotten,Cholera
"leg cramps, low blood pressure",Clear,Rotten,Cholera
"leg cramps, loss of skin elasticity",Clear,None,Cholera
"vomiting, loss of skin elasticity, leg cramps",Clear,None,Cholera
"vomiting, low blood pressure",Clear,Rotten,Cholera
"vomiting, thirst, loss of skin elasticity, rapid heart rate",Clear,Fishy,Cholera
"severe watery diarrhea, vomiting",Pale,Fishy,Cholera
"thirst, dehydration, loss of skin elasticity",Pale,None,Cholera
"rapid heart rate, severe watery diarrhea, leg cramps, muscle cramps",Clear,Fishy,Cholera
"low blood pressure, leg cramps, severe watery diarrhea",Cloudy,None,Cholera
"low blood pressure, severe watery diarrhea, leg cramps, rapid heart rate",Cloudy,Fishy,Cholera
"rapid heart rate, low blood pressure, dehydration",Cloudy,Fishy,Cholera
"muscle cramps, vomiting, severe watery diarrhea, rapid heart rate",Cloudy,Rotten,Cholera
"leg cramps, rapid heart rate, low blood pressure",Pale,None,Cholera
"vomiting, severe watery diarrhea, dehydration, loss of skin elasticity",Pale,None,Cholera
"thirst, muscle cramps, low blood pressure",Cloudy,Fishy,Cholera
"rapid heart rate, dehydration, muscle cramps",Clear,Rotten,Cholera
"rapid heart rate, severe watery diarrhea",Cloudy,None,Cholera
"dehydration, severe watery diarrhea",Pale,Fishy,Cholera
"thirst, rapid heart rate, dehydration, muscle cramps",Cloudy,Rotten,Cholera
"rapid heart rate, loss of skin elasticity, severe watery diarrhea, thirst",Clear,Rotten,Cholera
"low blood pressure, thirst, loss of skin elasticity",Pale,Fishy,Cholera
"dehydration, severe watery diarrhea",Cloudy,Rotten,Cholera
"low blood pressure, leg cramps, muscle cramps",Clear,Fishy,Cholera
"muscle cramps, dehydration",Clear,Rotten,Cholera
"leg cramps, dehydration, rapid heart rate",Clear,None,Cholera
"muscle cramps, loss of skin elasticity, vomiting, dehydration",Clear,Fishy,Cholera
"rapid heart rate, vomiting, muscle cramps",Cloudy,Fishy,Cholera
"vomiting, leg cramps, loss of skin elasticity, low blood pressure",Clear,None,Cholera
"severe watery diarrhea, muscle cramps, vomiting",Clear,None,Cholera
"vomiting, muscle cramps, thirst, leg cramps",Pale,Fishy,Cholera
"dehydration, muscle cramps, loss of skin elasticity, severe watery diarrhea",Cloudy,Rotten,Cholera
"rapid heart rate, loss of skin elasticity",Clear,None,Cholera
"severe watery diarrhea, leg cramps, muscle cramps",Clear,Fishy,Cholera
"thirst, loss of skin elasticity, vomiting, dehydration",Clear,None,Cholera
"dehydration, thirst, muscle cramps",Clear,Rotten,Cholera
"rapid heart rate, loss of skin elasticity, leg cramps, severe watery diarrhea",Pale,Rotten,Cholera
"severe watery diarrhea, rapid heart rate, leg cramps, loss of skin elasticity",Clear,Rotten,Cholera
"severe watery diarrhea, thirst",Clear,None,Cholera
"vomiting, severe watery diarrhea, dehydration",Clear,Fishy,Cholera
"thirst, leg cramps",Cloudy,Rotten,Cholera
"loss of skin elasticity, rapid heart rate, muscle cramps, thirst",Clear,Rotten,Cholera
"severe watery diarrhea, rapid heart rate",Pale,Fishy,Cholera
"rapid heart rate, thirst, vomiting",Clear,Fishy,Cholera
"thirst, leg cramps, loss of skin elasticity, muscle cramps",Pale,Fishy,Cholera
"severe watery diarrhea, rapid heart rate, thirst, vomiting",Cloudy,Rotten,Cholera
"vomiting, thirst",Clear,None,Cholera
"vomiting, dehydration, low blood pressure, severe watery diarrhea",Cloudy,Rotten,Cholera
"dehydration, vomiting",Cloudy,None,Cholera
"vomiting, loss of skin elasticity",Pale,Rotten,Cholera
"rapid heart rate, leg cramps",Pale,None,Cholera
"leg cramps, thirst, muscle cramps",Pale,Rotten,Cholera
"muscle cramps, dehydration, rapid heart rate, vomiting",Clear,Rotten,Cholera
"muscle cramps, loss of skin elasticity, dehydration, thirst",Clear,Fishy,Cholera
"vomiting, dehydration",Clear,None,Cholera
"rapid heart rate, loss of skin elasticity, vomiting, low blood pressure",Pale,Fishy,Cholera
"severe watery diarrhea, low blood pressure, vomiting",Cloudy,None,Cholera
"severe watery diarrhea, muscle cramps, low blood pressure",Cloudy,Fishy,Cholera
"vomiting, rapid heart rate, dehydration, severe watery diarrhea",Cloudy,Rotten,Cholera
"rapid heart rate, low blood pressure, leg cramps",Clear,Fishy,Cholera
"rapid heart rate, thirst",Clear,Fishy,Cholera
"rapid heart rate, vomiting, leg cramps",Pale,None,Cholera
"loss of skin elasticity, rapid heart rate",Pale,Fishy,Cholera
"muscle cramps, dehydration, leg cramps",Clear,Rotten,Cholera
"low blood pressure, muscle cramps, vomiting, dehydration",Cloudy,Rotten,Cholera
"loss of skin elasticity, dehydration, thirst, vomiting",Cloudy,Fishy,Cholera
"thirst, muscle cramps, rapid heart rate",Pale,Fishy,Cholera
"rapid heart rate, loss of skin elasticity",Cloudy,Fishy,Cholera
"severe watery diarrhea, rapid heart rate, muscle cramps",Cloudy,Fishy,Cholera
"low blood pressure, severe watery diarrhea, leg cramps",Clear,Fishy,Cholera
"low blood pressure, muscle cramps, dehydration",Pale,Fishy,Cholera
"low blood pressure, leg cramps",Cloudy,Rotten,Cholera
"muscle cramps, thirst, rapid heart rate",Clear,None,Cholera
"vomiting, dehydration",Clear,Fishy,Cholera
"rapid heart rate, dehydration, loss of skin elasticity",Cloudy,Fishy,Cholera
"vomiting, loss of skin elasticity, leg cramps, low blood pressure",Pale,None,Cholera
"dehydration, leg cramps",Clear,None,Cholera
"thirst, severe watery diarrhea, vomiting",Cloudy,Fishy,Cholera
"muscle cramps, vomiting",Pale,Fishy,Cholera
"muscle cramps, thirst, leg cramps, severe watery diarrhea",Cloudy,Rotten,Cholera
"muscle cramps, rapid heart rate",Pale,Fishy,Cholera
"rapid heart rate, leg cramps",Cloudy,Rotten,Cholera
"low blood pressure, rapid heart rate, muscle cramps, severe watery diarrhea",Cloudy,Fishy,Cholera
"severe watery diarrhea, leg cramps",Cloudy,Fishy,Cholera
"dehydration, thirst, rapid heart rate",Clear,Fishy,Cholera
"leg cramps, dehydration, low blood pressure",Cloudy,None,Cholera
"severe watery diarrhea, low blood pressure",Pale,None,Cholera
"leg cramps, severe watery diarrhea, low blood pressure, muscle cramps",Clear,Rotten,Cholera
"thirst, vomiting, rapid heart rate",Pale,Fishy,Cholera
"dehydration, low blood pressure, loss of skin elasticity, leg cramps",Clear,None,Cholera
"rapid heart rate, vomiting, thirst",Clear,Rotten,Cholera
"muscle cramps, thirst",Clear,Rotten,Cholera
"dehydration, muscle cramps, leg cramps",Cloudy,Fishy,Cholera
"loss of skin elasticity, vomiting, dehydration, thirst",Pale,Fishy,Cholera
